Name,Description,image,link,Logo
Le Matelas vert,"Le Matelas vert est une marque de matelas et sur-matelas, écologiques et écoresponsables.",https://www.marques-de-france.fr/wp-content/uploads/2020/11/Le-matelas-vert-image-principale-640x480.jpg,https://lb.affilae.com,
Le t-shirt Propre,"Le t-shirt Propre propose des vêtements conçus proprement, fabriqués en France, 100% naturels et faits pour durer.",https://www.marques-de-france.fr/wp-content/uploads/2019/08/T-shirt-propre-image-principale-nov-2020-640x480.jpg,https://www.le-tshirt-propre.fr,https://www.le-tshirt-propre.fr/img/favicon.ico
1083,"1083 est une marque de jeans français qui propose également des chaussures, vestes, t-shirts et accessoires. Le tout fabriqué à moins de 1083 km de chez vous !",https://www.marques-de-france.fr/wp-content/uploads/2019/03/1083-jeans-made-in-france-640x480.jpg,https://www.1083.fr,
Le Slip Français,"Le Slip Français est la marque du bon-à-porter : des vêtements confortables, décomplexés et fabriqués près de chez vous !",https://www.marques-de-france.fr/wp-content/uploads/2019/03/Le-Slip-Francais-vetements-mixtes-lin-640x480.jpg,https://lb.affilae.com,
LE FORMIER,"LE FORMIER, ce sont des chaussures pour hommes qui veulent à la fois de la simplicité et de la singularité dans leur style.",https://www.marques-de-france.fr/wp-content/uploads/2021/12/Le-formier-bottines-guillom-brandy-640x480.jpg,https://leformier.com,https://leformier.com/media/favicon/stores/30/Leformier-faviconV2.png
Montlimart,"Montlimart est une marque de mode responsable qui propose des vêtements, chaussures et accessoires pour homme fabriqués à moins de 2000kms dont 80% de made in France, dans des matières plus durables (naturelles, bio, recyclées) et qui parraine des abeilles de la région nantaise.",https://www.marques-de-france.fr/wp-content/uploads/2021/04/Visuel-page-introuvable-640x480.png,https://www.montlimart.com,/img/favicon.ico?1722246491
Les Tricots Marcel,"Les Tricots Marcel, c’est le débardeur Marcel emblématique, ainsi que pulls, bonnets, écharpes, sweats, maillots de corps et T-shirts faits à Roanne.",https://www.marques-de-france.fr/wp-content/uploads/2020/12/debardeur-marcel-640x480.png,https://lestricotsmarcel.com,//lestricotsmarcel.com/cdn/shop/files/FAVICON_32x32.png?v=1614345835
Le Soulor,"Le Soulor fabrique des chaussures de montagne, depuis 1925, dans le Béarn.",https://www.marques-de-france.fr/wp-content/uploads/2020/07/ossau-sol-mouille-640x480.jpg,https://lesoulor1925.com,//lesoulor1925.com/wp-content/uploads/2021/06/pastille-montagne-60x60-1.png
Garçon Français,"Garçon Français est une marque de sous-vêtements, maillots de bain et chaussettes pour homme depuis 2012. Ses collections sont totalement fabriquées en France, principalement à Troyes.",https://www.marques-de-france.fr/wp-content/uploads/2020/05/garcon-francais-640x480.jpg,https://garcon-francais.fr,/favicon.ico
La Fille des Carnets,La Fille des Carnets crée des carnets thématiques originaux et d’inspiration pour faire l’expérience d’un plaisir simple : écrire.,https://www.marques-de-france.fr/wp-content/uploads/2020/05/banniere2-LaFilleDesCarnets-640x480.jpeg,https://www.lafilledescarnets.com,https://images.squarespace-cdn.com/content/v1/603a589e5646d67cf7ba5109/9c5a13a7-4bcc-43db-8aa8-8306869384c2/favicon.ico?format=100w
Le Minor,"Le Minor est une marque bretonne de prêt-à-porter née en 1922, disposant de ses propres ateliers de fabrication.",https://www.marques-de-france.fr/wp-content/uploads/2020/01/Le-Minor_image-principale-640x480.jpg,https://leminor.fr,//leminor.fr/cdn/shop/files/favicon-le-minor-hermine_32x32.png?v=1671801361
Headoniste,"Headoniste est une marque de casquettes haut de gamme, résolue à changer les codes de la casquette de baseball traditionnelle.",https://www.marques-de-france.fr/wp-content/uploads/2021/02/headoniste-_G8A8238-e1687876955878-640x480.jpg,https://headoniste.shop,//headoniste.shop/wp-content/uploads/2020/10/favicon.jpg
SAINT LAZARE,"Sacs et accessoires élégants, fabriqués en France à partir de matières issues de l'upcycling par des personnes en situation de handicap.",https://www.marques-de-france.fr/wp-content/uploads/2021/04/Sac-a-dos-saint-lazare-640x480.png,https://saintlazare.fr,https://saintlazare.fr/img/favicon.ico?1677517667
Kipli,"Kipli est une marque de literie et de mobilier dont les canapés, sommiers, couettes, oreillers, et meubles sont fabriqués en France.",https://www.marques-de-france.fr/wp-content/uploads/2020/08/1-20-640x480.jpeg,https://kipli.com,https://s3.eu-west-3.amazonaws.com/cdn.kipli/favicon.ico
JULES et JENN,"JULES & JENN est une marque éthique de chaussures et d'accessoires intemporels, faits pour durer.",https://www.marques-de-france.fr/wp-content/uploads/2020/05/jules-et-jenn-bottines-de-pluie-homme-femme-640x480.jpg,https://www.julesjenn.com,https://cdn.julesjenn.com/photos/2020/01/cropped-JULESJENN_favicon.png?w=32&h=32&scale.option=fill&cw=32&ch=32&cx=center&cy=center
Thelma Rose,Thelma Rose propose des essentiels féminins éco-responsables doux et agréables à porter.,https://www.marques-de-france.fr/wp-content/uploads/2020/05/thelma-rose-lyane-noirO38A9356corrige-640x480.jpg,https://thelma-rose.com,//thelma-rose.com/cdn/shop/files/favicon-32x32_32x32.png?v=1655371861
Eminence,Eminence confectionne des sous-vêtements pour hommes dans leurs ateliers du Gard.,https://www.marques-de-france.fr/wp-content/uploads/2020/05/Eminence-image-principale-2020-640x480.jpg,https://rfc.eminence.fr,
Mello,"Mello est une marque qui imagine, fabrique et donne vie à des produits de literie haut de gamme abordables et accessibles à tous.",https://www.marques-de-france.fr/wp-content/uploads/2020/04/Mello-image-principale-640x480.jpg,https://mello-matelas.fr,//mello-matelas.fr/cdn/shop/files/fav-icon-mello-2024_32x32.png?v=1725870910
Maison Lemahieu,Maison Lemahieu est une marque fabricante. L'intégralité de la fabrication des vêtements et sous-vêtements (du tricotage de la matière à la confection) est réalisée dans ses ateliers de Saint-André-lez-Lille.,https://www.marques-de-france.fr/wp-content/uploads/2020/03/1-640x480.jpg,https://rau.lemahieu.com,
Bleu de Chauffe,Bleu de Chauffe est un fabricant de sacs et d'accessoires en cuir inspirés par la fonctionnalité des bleus de travail.,https://www.marques-de-france.fr/wp-content/uploads/2019/10/Bleu-de-chauffe-sac-postier-velour-cuir-640x480.jpg,https://www.casaneo.fr,
Navailles,Navailles conçoit et fabrique manuellement des fauteuils de bureau ergonomiques et des sièges médiaux sur-mesure contribuant au bien-être au travail.,https://www.marques-de-france.fr/wp-content/uploads/2023/12/Navailles-fauteuil-heritage-640x480.jpeg,https://bureau.navailles.fr,https://bureau.navailles.fr/wp-content/uploads/2022/09/cropped-navaille-favicon-32x32.png
Meubles CELIO,"Depuis trois générations, les meubles CELIO, reconnus comme les experts de la chambre et du dressing, proposent désormais des meubles personnalisables pour ranger, dormir, se détendre, et même manger.",https://www.marques-de-france.fr/wp-content/uploads/2023/11/Meubles-celio-chambre-Toscane-640x480.jpeg,https://www.meubles-celio.fr,/favicons/favicon-32x32.png?v=2024
BPM,"BPM est une marque d'accessoires de mode spécialisée dans le velours. La fabrication est éthique, solidaire et made in Normandie.",https://www.marques-de-france.fr/wp-content/uploads/2023/11/bpm-sac-banane-velours-porte-beige-640x480.jpg,https://laboutiquebpm.com,https://laboutiquebpm.com/wp-content/uploads/2021/01/favicon-32x32-1.png
Histoire Botanique,Histoire Botanique est la marque de bijoux éthiques qui raconte le monde végétal.,https://www.marques-de-france.fr/wp-content/uploads/2023/11/Histoire-botanique-bagues-argent-640x480.jpeg,https://histoirebotanique.com,//histoirebotanique.com/cdn/shop/files/bijoux-histoire-botanique3.gif?crop=center&height=32&v=1687768357&width=32
Seize point neuf,"Seize point neuf est une marque de mode responsable, en circuit court et en vente directe.",https://www.marques-de-france.fr/wp-content/uploads/2021/02/Seize-point-neuf-sous-vetements-image-principale-1-640x480.jpg,https://www.seizepointneuf.fr,https://www.seizepointneuf.fr/wp-content/uploads/2024/06/cropped-LOGO-150-32x32.jpg
Le Mouton à Soie,Le Mouton à Soie conçoit des vêtements éthiques en laine mérinos biologique et soie naturelle pour toutes les saisons.,https://www.marques-de-france.fr/wp-content/uploads/2020/12/LEMOUTONASOIE-111-640x480.jpg,https://lemoutonasoie.fr,https://lemoutonasoie.fr/wp-content/themes/wpmasterigloo2018-ecommerce/assets/images/favicon.ico
Sweet Alpaga,"Sweet Alpaga est une marque de vêtements et d'accessoires en pure laine d'alpaga tricotés en France. Qualité, douceur et élégance nous caractérisent ! Créatrice lyonnaise",https://www.marques-de-france.fr/wp-content/uploads/2020/11/poncho-bleu-doux-640x480.jpg,https://www.sweetalpaga.com,/templates/ja_megastore/local/favicon.ico
TUSSOR,"TUSSOR est une marque de maroquinerie créative, ingénieuse et fonctionnelle. Elle propose un concept innovant, ludique et breveté, de sacs modulables dans un esprit sport chic.",https://www.marques-de-france.fr/wp-content/uploads/2020/11/TUSSOR-sac-bandouliere-cuir-marron-640x480.jpg,https://www.tussor.net,/images/favicon-tussor.jpg
Delavelle,Delavelle est un éditeur et fabricant de mobilier français éco-responsable.,https://www.marques-de-france.fr/wp-content/uploads/2020/10/gerardmer-2-640x480.jpg,https://delavelle-design.fr,/public/favicon.ico
Baron Papillon,"Baron Papillon est une marque indépendante de sneakers de luxe, imaginées et dessinées par des stylistes.",https://www.marques-de-france.fr/wp-content/uploads/2020/09/Baron-Papillon-modele-baskets-frenchy-640x480.jpg,https://www.baronpapillon.com,/sites/default/files/logo_BaronPapillon_symbole.png
LAFRANÇAISE Mailles in France,LAFRANÇAISE joue le jeu du style et de l'éthique avec une maille cool et chic de fabrication 100% française.,https://www.marques-de-france.fr/wp-content/uploads/2020/09/7473vsa_7497vso_7509vsa_1014-640x480.jpg,https://www.lafrancaise-mailles.fr,//www.lafrancaise-mailles.fr/cdn/shop/files/pitogramme_noir-01_2_1.png?crop=center&height=16&v=1695135582&width=16
Couleur Tong,"Couleur Tong est une marque de tongs en cuir, de chaussons en laine et de sacs, fabriqués à Vinay dans l'Isère.",https://www.marques-de-france.fr/wp-content/uploads/2020/08/MOL-SABLE-EDGAR-640x480.jpg,https://www.couleurtong.fr,https://www.couleurtong.fr/wp-content/themes/theme-lesbonstech-master/assets/images/favicon.svg
La Chemise Française,"Chemises haut de gamme façonnées en France, au coeur de la Bourgogne, depuis 1947.",https://www.marques-de-france.fr/wp-content/uploads/2020/04/1-640x480.png,https://www.lachemisefrancaise.fr,https://www.lachemisefrancaise.fr/img/favicon.ico?1726042622
BRÜT,"BRÜT vous propose des planches à découper en bois massif, de chêne et de frêne. Les planches sont découpées dans la masse et emballées dans un pochon en lin réutilisable.",https://www.marques-de-france.fr/wp-content/uploads/2024/11/Brut-ensemble-de-planches-a-decouper-en-bois-massif-640x480.jpg,https://www.planches-brut.fr,https://static.wixstatic.com/media/800f9e_7e215f25bf2b4d90b3c754084e043846%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/800f9e_7e215f25bf2b4d90b3c754084e043846%7Emv2.png
C'Reparti,C'Reparti conçoit et fabrique des loisirs créatifs responsables à partir de matières durables ou recyclées,https://www.marques-de-france.fr/wp-content/uploads/2024/11/CReparti-activites-creatives-demo-640x480.jpg,https://www.c-reparti.fr,https://cfcdn-cf.hellodr.tech/wp-content/uploads/sites/1016/2022/10/C-detoure-reduit-100x100.png
Tranquille Emile,Tranquille Emile est une marque de vêtements qui propose une collection complète pour toute la famille.,https://www.marques-de-france.fr/wp-content/uploads/2019/11/tranquille-emile-pull-made-in-france-le-consciencieux-3-640x480.jpg,https://www.tranquilleemile.net,//www.tranquilleemile.net/cdn/shop/files/Logo-Tranquille-Emile_32x32.svg?v=1716054661
Cooking à la française,"Cooking à la française propose des mixeurs plongeants de qualité professionnelle, héritage de plus de 60 ans d'expertise.",https://www.marques-de-france.fr/wp-content/uploads/2024/10/Cooking-a-la-francaise-mayonnaise-640x480.jpg,https://www.cookingalafrancaise.com,https://www.cookingalafrancaise.com/img/favicon.ico?1694502551
